Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
41,2020-05-14 17:21:40,"{'id': 16059826, 'body': ""Dear Friend, we're glad that you're enjoying our courses. You'll be happy to know that we have made some of our courses available for free for a limited time. Kindly do check it out, we're certain that you'll l love it! If you need help with anything, please don't hesitate to reach us at Hello@prghub.com and we'll be more than happy to assist you! :) \n-PA"", 'modified': '2020-06-18T05:20:12Z'}","Im really enjoy of these app for learning programming.I live in iran and i havent any banking card for pay you because my father was dead in 15 years ago and my mom is so old for work and i work so hard for our family and i cant pay for learning but i love to learn english language and programming ,so if i have a chance please tell me.",5,False,Adriam.Mesrine,Thank you,POSITIVE,im really enjoy app learning programmingi live iran havent banking card pay father dead 15 years ago mom old work work hard family cant pay learning love learn english language programming chance please tell,torture breaks,live
42,2019-10-18 16:48:29,"{'id': 11371057, 'body': ""Hi Friend!\nMany thanks for your awesome review! We're glad to know that our method of teaching has made it easy for you to learn programming. Do recommend us to your friends too! If you need help with anything, please don't hesitate to contact us at hello@prghub.com and we'll be very happy to help you out.\n-PA\n"", 'modified': '2019-10-21T10:33:00Z'}","I’m not big in writing reviews, but man when I tell you programming hub has made it easier for me to increase my knowledge in programming, I’m not kidding and the price is just right especially since you get access to everything for being a pro. Love how they make it easy to engage in the material, thanks programming hub",5,False,justALover,Best programming courses for less!,POSITIVE,im big writing reviews man tell programming hub made easier increase knowledge programming im kidding price right especially since get access everything pro love make easy engage material thanks programming hub,boosters,special
86,2019-12-19 06:09:38,"{'id': 12525537, 'body': 'Hi Friend!\nThank you so much for your support. We will definitely take note of your feedback so that we can improve our service further. If you need any assistance, please contact us at Hello@prghub.com and we’ll be more than happy to help you :)\n-PA\n', 'modified': '2019-12-22T09:29:55Z'}",I’m using it for free and I’m considering paying for the Pro. My only con is I’ve been trying to edit my name and avatar and it does not allow me even though I add the proper password. Besides that the content is amazing very hands on and detailed and fun way to learn coding!,5,False,Minjane420,Love this App,POSITIVE,im using free im considering paying pro con ive trying edit name avatar allow even though add proper password besides content amazing hands detailed fun way learn coding,avatar,avatar
99,2021-03-26 19:49:52,"{'id': 21956949, 'body': 'Hello, \n\nApologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-03-30T20:15:12Z'}","I have purchased the lifetime subscription, and I would really like the ability to change my avatar. For some odd reason the app will not allow me to change my avatar, despite this issue I am pleased with the app",3,False,iosquest,Makes learning to program a nice experience,POSITIVE,purchased lifetime subscription would really like ability change avatar odd reason app allow change avatar despite issue pleased app,avatar,avatar
115,2021-01-05 17:11:05,"{'id': 20304411, 'body': 'Hello, \n\nApologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-01-11T06:32:26Z'}",I really want an account to save my progress but when I made an account I couldn’t even click the log in button because when I scrolled down to click it the screen would bounce right back making me unable to click it. No matter how many times I tried.,2,False,KrazyKookie23,Can’t even click the log in button,NEGATIVE,really want account save progress made account couldnt even click log button scrolled click screen would bounce right back making unable click matter many times tried,status quo sloth,account
126,2021-06-02 23:27:56,"{'id': 23221938, 'body': 'Hello, Our sincere Apologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-06-06T20:32:54Z'}","I downloaded the app to brush up on my coding skills but upon downloading I noticed that I’m unable to sign into my account on iOS. This app utterly worthless if you can’t log into your personal account because you’d be barred from getting any certificates when on a guest account. 
Don’t waste your money on this app until this issue is fixed.",1,False,SeanPrice13,Worthless,NEGATIVE,downloaded app brush coding skills upon downloading noticed im unable sign account ios app utterly worthless cant log personal account youd barred getting certificates guest account dont waste money app issue fixed,status quo sloth,"person, account"
134,2020-12-01 12:27:40,"{'id': 19525899, 'body': 'Hi, \r\n\r\nWe were grieved by the experience you had. We have worked hard to make \reverything right. Please update with a more positive rating. It would be gratifying to us. We request you to please reach out to us at hello@prghub.com. Rest assured, your issue will be resolved. Thank you. - AS', 'modified': '2020-12-03T19:55:41Z'}",This app helps break everything down better than any other that I have tried. I would give 5 stars but when purchased it previously and made an account I attempted to go back recently and use my pro version but it won’t recognize I have already paid. I have my receipt and showed the account I purchased with but haven’t received anything.,1,False,TsaikaJen,Really amazing,NEGATIVE,app helps break everything better tried would give 5 stars purchased previously made account attempted go back recently use pro version wont recognize already paid receipt showed account purchased havent received anything,status quo sloth,account
166,2021-02-23 17:50:12,"{'id': 21289888, 'body': ""Hello, \n\nWe're thrilled to receive such a great rating. Thank you. We are gleeful to know, that you are having a mesmerizing experience with us. We're always at your service, when you need us at hello@prghub.com.- AS"", 'modified': '2021-02-25T12:19:02Z'}","I am currently attending University of Phoenix and this app is a big help in understanding and the how’s of variables, strings, etc... Thank you for making a free easy to understand lingo to programming language, especially C#.",5,False,Dusted Gaming,Simplified,POSITIVE,currently attending university phoenix app big help understanding hows variables strings etc thank making free easy understand lingo programming language especially c,boosters,special
184,2022-09-29 22:00:59,"{'id': 32493292, 'body': ""Hi Rinny, We'd love to offer everything for free but we need to sustain our team of experts to continuously improve and provide you with the best learning experience. It's not about the social media promotion but a license which is needed to access the pro version.\nPlease get in touch with us at Hello@prghub.com so we can provide you with a solution that will make you smile :) -NY"", 'modified': '2022-10-10T20:32:00Z'}",The app locks the third lesson set behind a paywall or social media promotion. I won’t promote a product on social media and I haven’t seen enough to know if it’s worth pro version. I am planning on uninstalling the app.,2,False,Rinny Kagamine,Unless you plan on paying for the app don’t bother,NEGATIVE,app locks third lesson set behind paywall social media promotion wont promote product social media havent seen enough know worth pro version planning uninstalling app,torture breaks,paywal
264,2022-03-04 19:07:34,"{'id': 29149255, 'body': ""Hey,\r\nWe're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\r\n-PS\r\n\r\n"", 'modified': '2022-04-13T12:50:46Z'}",I give it 5 stars... it can be helpful especially for beginners....,5,False,Drinking beauty,Perfect,POSITIVE,give 5 stars helpful especially beginners,boosters,special
288,2022-12-29 22:31:07,"{'id': 35298062, 'body': 'Dear Friend\nEach course is designed from its basics so that even beginners can learn easily and we are striving to update our content for experienced learners like you. Can you please provide us with the details of where we could make your experience beter at Hello@prghub.com?\n-KY', 'modified': '2023-03-09T18:23:01Z'}",It is beginner friendly…. I’d like more challenging questions.,5,False,neeks2,Love this!,NEGATIVE,beginner friendly id like challenging questions,challenges,challeng
350,2019-05-21 12:41:37,"{'id': 8816197, 'body': ""Hi Friend!\nThank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Please recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\n-PA"", 'modified': '2019-05-23T09:50:16Z'}",This is great for people who find the “For Dummies” books to be challenging.,5,False,darktownmax,Comprehensive,POSITIVE,great people find dummies books challenging,challenges,challeng
382,2022-03-24 21:41:15,"{'id': 29149235, 'body': 'Hey \r\nSincere apologies for the inconvenience caused, we understand how frustrating it will be.  Please reach us at hello@prghub.com, so that we could help you better.\r\n -PS\r\n', 'modified': '2022-04-13T12:49:12Z'}",I just bought access to the full app. It advertised as only charging me $35 but $60 was taken out of my account.,1,False,Jamie-Ellen,Wrongfully charged,NEGATIVE,bought access full app advertised charging 35 60 taken account,status quo sloth,account
457,2018-02-14 00:14:13,"{'id': 4580147, 'body': 'Dear Friend, We sincerely apologise for the delayed response. We are glad to inform you that we Have Launched a New Version for our Application with Lots of New Content, Courses, Features and Bug Fixes. We would kindly request you to Update to the Latest Version to enjoy the Latest Content, Courses & Features. If you face any issues regarding the same, do not hesitate to reach us out at hello@prghub.com. We will surely help you out. Happy Learning!', 'modified': '2018-08-08T14:04:39Z'}","Want the reference app I originally downloaded and not a training app. 

App will not register account to train anyway. Both Facebook and email registration is broken.",1,False,orthological,Update == Trash,NEGATIVE,want reference app originally downloaded training app app register account train anyway facebook email registration broken,status quo sloth,account
459,2019-04-09 01:05:27,"{'id': 8152985, 'body': ""Hi Friend!\nThank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Please recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\n-PA"", 'modified': '2019-04-10T13:06:13Z'}",Great stuff especially for newbies,5,False,owl orange,Great stuff,POSITIVE,great stuff especially newbies,boosters,special
523,2022-04-13 13:35:21,"{'id': 29495035, 'body': ""Hey,\r\nWe're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at hello@prghub.com and we'll be very happy to assist you!\r\n-PS\r\n"", 'modified': '2022-05-01T13:08:14Z'}","My dream job(BTW, I’m 10,) is to become a programmer! I want to help with the advancement of medicine. But, I thought that programming language was hard to understand, or complicated, with all those tags and everything. I’ve tried some things. Did not work very well. So, I one day decided to browse through the App Store, bored, finding what could be right for me. But then, this app caught my very eye.

I thought that this app was another boring old app that is just like any other; repetitive, boring, and unteachable. But, I got it anyway, to see how it worked out. And do you want to know what I thought? This is actually fun and educational!

It breaks lessons thoroughly and easy. It gives you a mini lesson about that sub-lesson to that big lesson on this giant app. You guys made this app fun! I’m learning JavaScript, and it breaks it up step by step. No wonder it has so many 5 star ratings!

There is a little room for improvement. For example, where is intermediate? You go from beginner to advance. Where is that? There is no in between! Also, you could make more categories. It’s just tedious finding the course you want. Then, if you can’t find it, you have to search it, and what if you can’t remember the name! Please consider this as constructive feedback and not critical.

Anyways, back to the pros. Love the pictures to go along with it! It really helps with the research part if you wanna do apple or AI or C++ and so forth!

So, I love this app, and please make more!
Peace out-
Brock Lytle(RedDogRunning)",5,False,😁RedDogRunning😁,<h1>Hello!</h1>,POSITIVE,dream jobbtw im 10 become programmer want help advancement medicine thought programming language hard understand complicated tags everything ive tried things work well one day decided browse app store bored finding could right app caught eye thought app another boring old app like repetitive boring unteachable got anyway see worked want know thought actually fun educational breaks lessons thoroughly easy gives mini lesson sublesson big lesson giant app guys made app fun im learning javascript breaks step step wonder many 5 star ratings little room improvement example intermediate go beginner advance also could make categories tedious finding course want cant find search cant remember name please consider constructive feedback critical anyways back pros love pictures go along really helps research part wanna apple ai c forth love app please make peace brock lytlereddogrunning,visual grave,constructive feedback
619,2019-09-09 02:16:24,"{'id': 10617094, 'body': 'Hi Friend!\nThank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.\n-PA\n', 'modified': '2019-09-10T19:02:46Z'}","Well since you asked, I will briefly elaborate ± define ↑ terms x) 
*Better (>) economic value: is  relative to the cost of this particular subscription offer, compared to likekind in the top charts. 
*Expecting this educational experience to require the most amount of self discipline (to stick thru all the long course logs, for EACH skill desired. & I’m STILL excited! 🤩👏
*Extensive: this app offers the most 📑🗂 content for the least 💸cost. Including certificates of completion, after a daunting but incredibly thorough course log (which, the certificates of completion were a personal priority). However if you ARE GOING to pay MONTHLY INSTEAD Of annually or a lifetime cashout, then i *definitely recommend subscribing to something like “Knowin” 1st** since it is composed of much shorter & potentially easier courses that APPEAR to be designed as a prerequisite for completion before the purchase of something like this (in order to speed up the pace of completion when the duration has a direct affect on the cost per year etc.). 
*In general, it depends on personal priorities.. but when this opt was compared to the similar alternatives in the top charts, this one does come out a little a little bit longer per course, but the service provider does offer a ‘lifetime’ subscription option (which I selected in hopes they do not suddenly discontinue operations). Specifically, I chose the Lifetime opt. as it does not add direct pressure to the causative correlation between *time & money (as with monthly memberships).
*&uhhff 😯 I’m sorry! ...Although I am not *yet* a data scientist or programmer, I do still have my degrees in business science & economics, respectively. Thus I apologize for getting a bit too geeked out in this review 🤓😂📊📋🤦‍♀️🤪.. but I see now that my excitement to share these microeconomic data/analyses, was at best, excessive haha 😹🙈😳😝👋 still a great app tho;)😇",4,False,Nolly7rr,✔️Economic Value ✔️Extensive/thorough ± ✔️Effective,POSITIVE,well since asked briefly elaborate define terms x better economic value relative cost particular subscription offer compared likekind top charts expecting educational experience require amount self discipline stick thru long course logs skill desired im still excited extensive app offers content least cost including certificates completion daunting incredibly thorough course log certificates completion personal priority however going pay monthly instead annually lifetime cashout definitely recommend subscribing something like knowin 1st since composed much shorter potentially easier courses appear designed prerequisite completion purchase something like order speed pace completion duration direct affect cost per year etc general depends personal priorities opt compared similar alternatives top charts one come little little bit longer per course service provider offer lifetime subscription option selected hopes suddenly discontinue operations specifically chose lifetime opt add direct pressure causative correlation time money monthly memberships uhhff im sorry although yet data scientist programmer still degrees business science economics respectively thus apologize getting bit geeked review see excitement share microeconomic dataanalyses best excessive haha still great app tho,status quo sloth,person
787,2022-07-05 19:44:55,"{'id': 30783197, 'body': 'Hi, \r\nSincere apologies for any inconvenience caused. We will definitely take note of your review as we actively work on improvements to provide you with a much better service. If you need any help feel free to reach us at hello@prghub.com-PS\r\n', 'modified': '2022-07-08T07:54:36Z'}","This app just isn’t Good, with a capital G. In fact, I think it is Bad. I mean in a metaphysical sense, this app ultimately has Bad intentions. 

Sure, it wears a Good mask with its wonderfully design mask that gives you a hug after its pleasantly displayed dialogue about what programming is (not how to do it), and sure, there seems to be a great deal of 34.99 for lifetime access so you won’t get billed ever again. That also seems Good. There’s a broad range of courses so you can learn *about* whatever you like. That also seems Good. 

And then you try to learn, which can only theoretically occur after we have finished the free “what is Programming” lessons. There’s a reason for this, because the learning is literally clicking answers to a quiz, where you can always just change your answer and speed through. No *learning* takes place anywhere. No practical example. No code editor. No hint that we’re only here to learn about concepts, and pretty basic ones, from my C# experience. 

Would you have paid 34.95 for such a thing? Maybe you would have, but my thinking is you probably wanted to learn something instead of being hugged by your hand computer. 

Oh, maybe their c# class is only in development? Not according to other reviews here. 

Get this app if you want to relate to your children/grandchildren about what programming is, or maybe if you want to be a terrible CEO who ruins his company because he thinks he learned something. 

You lesson designers… I know you understand. I know it’s the bizdev creature. They’re gonna do what they’re gonna do. 

I know it’s not your fault either, overworked marketing person who is probably underpaid as well. 

But this product… and it is a product… it’s Bad. It hurts people by being deceptive more than it does by being ineffective, and it’s designed to do just that. That’s not Good, by whatever moral system you use. If it is considered good, I don’t know what to think of your higher power, man.",1,False,ahoymehearties,Not Good,NEGATIVE,app isnt good capital g fact think bad mean metaphysical sense app ultimately bad intentions sure wears good mask wonderfully design mask gives hug pleasantly displayed dialogue programming sure seems great deal 3499 lifetime access wont get billed ever also seems good theres broad range courses learn whatever like also seems good try learn theoretically occur finished free programming lessons theres reason learning literally clicking answers quiz always change answer speed learning takes place anywhere practical example code editor hint learn concepts pretty basic ones c experience would paid 3495 thing maybe would thinking probably wanted learn something instead hugged hand computer oh maybe c class development according reviews get app want relate childrengrandchildren programming maybe want terrible ceo ruins company thinks learned something lesson designers know understand know bizdev creature theyre gonna theyre gonna know fault either overworked marketing person probably underpaid well product product bad hurts people deceptive ineffective designed thats good whatever moral system use considered good dont know think higher power man,status quo sloth,person
793,2021-11-21 02:47:30,,"The app gets across the basics, and maybe provides a starting point to learn more advanced things elsewhere, but that's pretty much it. You don't get any hands-on experience like with many other apps so you'll have to look for actual practice elsewhere. The English is okay at best (or atrocious at worst in some cases), making some lessons hard to follow or difficult to understand for a person who has never seriously coded. I think if you're already learning to code then this could be a good review app though. However, overall not terribly impressed.",2,False,N1l4,"Okay, gets across the basics. Maybe more for review for people that already know how to code.",NEGATIVE,app gets across basics maybe provides starting point learn advanced things elsewhere thats pretty much dont get handson experience like many apps youll look actual practice elsewhere english okay best atrocious worst cases making lessons hard follow difficult understand person never seriously coded think youre already learning code could good review app though however overall terribly impressed,status quo sloth,person
